Date,sector,sie,seasonal_ref,apac_resid
1978-11-01,Amundsen_Bellingshausen,3.351122554,3.649015544386033,-0.29789299038603323
1978-11-03,Amundsen_Bellingshausen,3.342030019,3.62936510282275,-0.28733508382274975
1978-11-05,Amundsen_Bellingshausen,3.354599778,3.6087051017796434,-0.25410532377964357
1978-11-07,Amundsen_Bellingshausen,3.358463959,3.587149497565797,-0.22868553856579732
1978-11-09,Amundsen_Bellingshausen,3.40447597,3.5648122464902934,-0.16033627649029336
1978-11-11,Amundsen_Bellingshausen,3.452095304,3.5418073048622154,-0.0897120008622152
1978-11-13,Amundsen_Bellingshausen,3.45298775,3.5182498640696367,-0.06526211406963656
1978-11-15,Amundsen_Bellingshausen,3.439928851,3.49426917791983,-0.05434032691983015
1978-11-17,Amundsen_Bellingshausen,3.427531746,3.4700034344348905,-0.04247168843489035
1978-11-19,Amundsen_Bellingshausen,3.443560964,3.445590964447933,-0.0020300004479327782
1978-11-21,Amundsen_Bellingshausen,3.451557069,3.421170098792075,0.030386970207925135
1978-11-23,Amundsen_Bellingshausen,3.468083569,3.3968791683004267,0.07120440069957334
1978-11-25,Amundsen_Bellingshausen,3.412980278,3.372851765501988,0.04012851249801219
1978-11-27,Amundsen_Bellingshausen,3.4613729,3.3490125988292636,0.11236030117073659
1978-11-29,Amundsen_Bellingshausen,3.443025491,3.3249998178943234,0.1180256731056768
1978-12-01,Amundsen_Bellingshausen,3.439175498,3.3004308106341034,0.13874468736589662
1978-12-03,Amundsen_Bellingshausen,3.45025162,3.274922964985536,0.17532865501446393
1978-12-05,Amundsen_Bellingshausen,3.457559178,3.2480936688855513,0.2094655091144486
1978-12-07,Amundsen_Bellingshausen,3.433558075,3.2195602395052654,0.21399783549473472
1978-12-09,Amundsen_Bellingshausen,3.425857648,3.188798718839688,0.23705892916031202
1978-12-11,Amundsen_Bellingshausen,3.424855843,3.1548480295724297,0.2700078134275703
1978-12-13,Amundsen_Bellingshausen,3.372064188,3.1166628111683368,0.2554013768316632
1978-12-15,Amundsen_Bellingshausen,3.358772218,3.0731977030922573,0.28557451490774266
1978-12-17,Amundsen_Bellingshausen,3.315337947,3.0234073448090326,0.29193060219096756
1978-12-19,Amundsen_Bellingshausen,3.203718073,2.966246375783511,0.2374716972164892
1978-12-21,Amundsen_Bellingshausen,3.126930892,2.9008664624538683,0.2260644295461316
1978-12-23,Amundsen_Bellingshausen,3.112675481,2.827908106626755,0.2847673743732453
1978-12-25,Amundsen_Bellingshausen,3.111851776,2.7486921175121823,0.3631596584878176
1978-12-27,Amundsen_Bellingshausen,3.025352496,2.6645428021278508,0.36080969387214923
1978-12-29,Amundsen_Bellingshausen,2.951917254,2.576784467491471,0.3751327865085292
1978-12-31,Amundsen_Bellingshausen,2.89373685,2.4867414206207363,0.4069954293792635
1979-01-01,Amundsen_Bellingshausen,2.273059404,2.441276976040524,-0.16821757204052412
1979-01-02,Amundsen_Bellingshausen,2.775492857,2.395731210527329,0.3797616464726712
1979-01-04,Amundsen_Bellingshausen,2.734956528,2.304915952084096,0.4300405759159043
1979-01-06,Amundsen_Bellingshausen,2.624768297,2.2153023260250793,0.4094659709749209
1979-01-08,Amundsen_Bellingshausen,2.502761153,2.1278902550782863,0.37487089792171346
1979-01-10,Amundsen_Bellingshausen,2.465688437,2.0436796619717192,0.4220087750282806
1979-01-12,Amundsen_Bellingshausen,2.375832207,1.9636704694333844,0.4121617375666158
