year,subseason,ice_persist,sector
1979,late,3.909090909090909,East_Antarctica
1979,mid,1,East_Antarctica
1980,early,5,East_Antarctica
1980,late,2,East_Antarctica
1980,mid,6.25,East_Antarctica
1981,early,15,East_Antarctica
1981,late,7.533333333333333,East_Antarctica
1981,mid,4.538461538461538,East_Antarctica
1982,early,7,East_Antarctica
1982,late,3.4,East_Antarctica
1982,mid,6,East_Antarctica
1983,early,2.25,East_Antarctica
1983,late,NA,East_Antarctica
1983,mid,1,East_Antarctica
1984,early,2.5,East_Antarctica
1984,late,4,East_Antarctica
1984,mid,4.636363636363637,East_Antarctica
1985,early,4.142857142857143,East_Antarctica
1985,late,1,East_Antarctica
1985,mid,2,East_Antarctica
1986,early,1,East_Antarctica
1986,late,8,East_Antarctica
1986,mid,7.7272727272727275,East_Antarctica
1987,early,4,East_Antarctica
1987,late,1.6666666666666667,East_Antarctica
1987,mid,12,East_Antarctica
1988,early,2,East_Antarctica
1988,late,3.5454545454545454,East_Antarctica
1988,mid,1.6666666666666667,East_Antarctica
1989,early,30,East_Antarctica
1989,late,3.3333333333333335,East_Antarctica
1989,mid,31,East_Antarctica
1990,early,NA,East_Antarctica
1990,late,3,East_Antarctica
1990,mid,NA,East_Antarctica
1991,early,11.347826086956522,East_Antarctica
1991,late,NA,East_Antarctica
1991,mid,17,East_Antarctica
1992,early,13,East_Antarctica
1992,late,11,East_Antarctica
1992,mid,8,East_Antarctica
1993,early,NA,East_Antarctica
1993,late,2.6,East_Antarctica
1993,mid,2,East_Antarctica
1994,early,1,East_Antarctica
1994,late,8.5,East_Antarctica
1994,mid,3,East_Antarctica
1995,early,2,East_Antarctica
1995,late,11,East_Antarctica
1995,mid,7,East_Antarctica
1996,early,NA,East_Antarctica
1996,late,NA,East_Antarctica
1996,mid,NA,East_Antarctica
1997,early,NA,East_Antarctica
1997,late,7.421052631578948,East_Antarctica
1997,mid,NA,East_Antarctica
1998,early,5.888888888888889,East_Antarctica
1998,late,1.6666666666666667,East_Antarctica
1998,mid,NA,East_Antarctica
1999,early,2,East_Antarctica
1999,late,2,East_Antarctica
1999,mid,7,East_Antarctica
2000,early,23.296296296296298,East_Antarctica
2000,late,6.578947368421052,East_Antarctica
2000,mid,7.7272727272727275,East_Antarctica
2001,early,8.2,East_Antarctica
2001,late,4,East_Antarctica
2001,mid,5.363636363636363,East_Antarctica
2002,early,1.6666666666666667,East_Antarctica
2002,late,17.105263157894736,East_Antarctica
2002,mid,5.2,East_Antarctica
2003,early,4.142857142857143,East_Antarctica
2003,late,3.5714285714285716,East_Antarctica
2003,mid,5,East_Antarctica
2004,early,NA,East_Antarctica
2004,late,3,East_Antarctica
2004,mid,2,East_Antarctica
2005,early,7.142857142857143,East_Antarctica
2005,late,6.25,East_Antarctica
2005,mid,3,East_Antarctica
2006,early,30,East_Antarctica
2006,late,1,East_Antarctica
2006,mid,4.142857142857143,East_Antarctica
2007,early,11,East_Antarctica
2007,late,1,East_Antarctica
2007,mid,2,East_Antarctica
2008,early,NA,East_Antarctica
2008,late,9,East_Antarctica
2008,mid,NA,East_Antarctica
2009,early,NA,East_Antarctica
2009,late,6.166666666666667,East_Antarctica
2009,mid,NA,East_Antarctica
2010,early,NA,East_Antarctica
2010,late,3,East_Antarctica
