year,wind_persist,ice_persist,sector
2011,2.1818181818181817,17,King_Haakon
2012,1.9565217391304348,26,King_Haakon
2013,3.6451612903225805,NA,King_Haakon
2014,3.1666666666666665,13.6,King_Haakon
2015,2.8823529411764706,25.941176470588236,King_Haakon
2016,3.7142857142857144,NA,King_Haakon
2017,2,5,King_Haakon
2018,3.8461538461538463,25.58823529411765,King_Haakon
2019,4.548387096774194,NA,King_Haakon
2020,3.0869565217391304,5.833333333333333,King_Haakon
2021,5.933333333333334,8.529411764705882,King_Haakon
2022,2.5384615384615383,30.813953488372093,King_Haakon
2023,3.8181818181818183,25.192307692307693,King_Haakon
2024,3.4615384615384617,NA,King_Haakon
1979,1.4615384615384615,1,Ross
1980,1.5,6,Ross
1981,2.625,6.6,Ross
1982,2.125,1,Ross
1983,1,7.222222222222222,Ross
1984,1.875,9.181818181818182,Ross
1985,1.6,2.142857142857143,Ross
1986,2.7142857142857144,1.5,Ross
1987,2.6666666666666665,59,Ross
1988,1.8888888888888888,2.5,Ross
1989,1.7058823529411764,8,Ross
1990,2.3333333333333335,NA,Ross
1991,2.391304347826087,50.638888888888886,Ross
1992,2.696969696969697,74.02631578947368,Ross
1993,1.8,21.896551724137932,Ross
1994,1.7777777777777777,2,Ross
1995,4.615384615384615,11,Ross
1996,1.4,19.866666666666667,Ross
1997,2.5294117647058822,NA,Ross
1998,1.75,6,Ross
1999,2.28,7.8,Ross
2000,2.5555555555555554,7,Ross
2001,3.2,5.5,Ross
2002,1.7272727272727273,12.851851851851851,Ross
2003,1.5,3.2222222222222223,Ross
2004,2.0526315789473686,8.894736842105264,Ross
2005,2.4285714285714284,70.33333333333333,Ross
2006,1.6363636363636365,63.26086956521739,Ross
2007,2.3333333333333335,NA,Ross
2008,2.942857142857143,NA,Ross
2009,2.090909090909091,2,Ross
2010,1.6666666666666667,26.333333333333332,Ross
2011,1.8,6.333333333333333,Ross
2012,2.076923076923077,1,Ross
2013,2.5714285714285716,16,Ross
2014,3.5217391304347827,NA,Ross
2015,2.185185185185185,34.220338983050844,Ross
2016,1.9565217391304348,8.2,Ross
2017,1.5263157894736843,1,Ross
2018,2.263157894736842,35.08510638297872,Ross
2019,3.125,35,Ross
2020,2.25,NA,Ross
2021,3,1,Ross
2022,2.391304347826087,7,Ross
2023,1.8,27.38888888888889,Ross
2024,2.090909090909091,NA,Ross
1979,1.5,8,Weddell
1980,3,1.5,Weddell
1981,2.764705882352941,17.058823529411764,Weddell
1982,1.5454545454545454,2.75,Weddell
1983,1,6.25,Weddell
1984,2.076923076923077,2,Weddell
1985,1.6666666666666667,17,Weddell
1986,1.8,7.413793103448276,Weddell
1987,4,4.166666666666667,Weddell
1988,1.7058823529411764,1,Weddell
1989,3.5833333333333335,3.5714285714285716,Weddell
1990,1.7272727272727273,4.4,Weddell
1991,2.230769230769231,21.962962962962962,Weddell
1992,3.3225806451612905,4.294117647058823,Weddell
1993,1.8888888888888888,5.869565217391305,Weddell
1994,3.9565217391304346,19,Weddell
1995,2.5,29.444444444444443,Weddell
1996,2.3333333333333335,2,Weddell
1997,2.076923076923077,5,Weddell
1998,1.375,26.142857142857142,Weddell
1999,1.6666666666666667,3.4615384615384617,Weddell
2000,3,13.8,Weddell
2001,3.727272727272727,3.7142857142857144,Weddell
2002,2.3684210526315788,21.166666666666668,Weddell
2003,3.4285714285714284,13.380952380952381,Weddell
2004,1.9411764705882353,12.6,Weddell
2005,4,13.74074074074074,Weddell
2006,3.1904761904761907,9.962962962962964,Weddell
2007,3.2222222222222223,2,Weddell
2008,2.5,7,Weddell
2009,3.1481481481481484,10.428571428571429,Weddell
2010,2.7142857142857144,5.25,Weddell
2011,4.153846153846154,9.8125,Weddell
2012,2,2.2,Weddell
2013,2.5,7.6923076923076925,Weddell
2014,2.130434782608696,7.777777777777778,Weddell
2015,1.962962962962963,5.888888888888889,Weddell
2016,2.52,2.75,Weddell
2017,2.5833333333333335,34.375,Weddell
2018,3,4.846153846153846,Weddell
2019,2.12,5,Weddell
2020,2.3076923076923075,9.125,Weddell
2021,2.5625,10,Weddell
2022,4.333333333333333,5,Weddell
2023,2.909090909090909,25,Weddell
2024,2.6363636363636362,NA,Weddell
1979,2,25.324324324324323,circumpolar
1980,1.9333333333333333,33.05714285714286,circumpolar
1981,2.3333333333333335,7.222222222222222,circumpolar
1982,2.375,1.5,circumpolar
1983,1.7142857142857142,43,circumpolar
1984,1.6666666666666667,5.5,circumpolar
1985,1.4285714285714286,13,circumpolar
1986,2.2941176470588234,3,circumpolar
1987,1.6666666666666667,50.833333333333336,circumpolar
1988,2.142857142857143,10.571428571428571,circumpolar
1989,3.4545454545454546,17.37837837837838,circumpolar
1990,2,1,circumpolar
1991,4,13.133333333333333,circumpolar
1992,3.8275862068965516,4.25,circumpolar
1993,2.3333333333333335,NA,circumpolar
1994,3.1538461538461537,7.5,circumpolar
1995,3.3333333333333335,2,circumpolar
1996,2.0588235294117645,6.142857142857143,circumpolar
1997,2.3333333333333335,NA,circumpolar
1998,4.379310344827586,4.454545454545454,circumpolar
1999,2.238095238095238,3.25,circumpolar
2000,1.5,8.333333333333334,circumpolar
2001,2.2941176470588234,4,circumpolar
2002,3.7,15,circumpolar
2003,3.3333333333333335,13.3125,circumpolar
2004,2.0434782608695654,NA,circumpolar
2005,3.1052631578947367,4,circumpolar
2006,3.967741935483871,7.222222222222222,circumpolar
2007,2.7142857142857144,9.615384615384615,circumpolar
2008,2.8095238095238093,20.5,circumpolar
2009,4.548387096774194,2,circumpolar
2010,3.914285714285714,44.36470588235294,circumpolar
2011,1.588235294117647,5.285714285714286,circumpolar
2012,2.4782608695652173,9.742857142857142,circumpolar
2013,3.125,NA,circumpolar
2014,2.68,3.5714285714285716,circumpolar
2015,4,40.21568627450981,circumpolar
2016,2.25,15.74074074074074,circumpolar
2017,3,NA,circumpolar
2018,2.4615384615384617,2.75,circumpolar
2019,5.214285714285714,33,circumpolar
2020,3.32,11.521739130434783,circumpolar
2021,2.3684210526315788,11.88,circumpolar
2022,2.5,8.44,circumpolar
2023,3.272727272727273,81,circumpolar
2024,2.217391304347826,NA,circumpolar
