sector,year,phase_doy,amplitude,phase_anom,amplitude_anom
Amundsen_Bellingshausen,1978,345,0.5207001718220745,98.8913043478261,-2.267637277487681
Amundsen_Bellingshausen,1979,244,2.7167579737984227,-2.108695652173907,-0.07157947551133281
Amundsen_Bellingshausen,1980,245,3.701141026522424,-1.1086956521739069,0.9128035772126686
Amundsen_Bellingshausen,1981,244,3.2121837107793327,-2.108695652173907,0.42384626146957727
Amundsen_Bellingshausen,1982,244,2.7414303829616573,-2.108695652173907,-0.04690706634809816
Amundsen_Bellingshausen,1983,244,2.5622586676481034,-2.108695652173907,-0.22607878166165207
Amundsen_Bellingshausen,1984,245,2.9764447443925013,-1.1086956521739069,0.18810729508274582
Amundsen_Bellingshausen,1985,244,2.7760788229137305,-2.108695652173907,-0.01225862639602493
Amundsen_Bellingshausen,1986,244,3.0369980214660313,-2.108695652173907,0.2486605721562758
Amundsen_Bellingshausen,1987,225,3.6830148442225568,-21.108695652173907,0.8946773949128013
Amundsen_Bellingshausen,1988,249,3.3762142937756354,2.891304347826093,0.58787684446588
Amundsen_Bellingshausen,1989,244,2.504264719624304,-2.108695652173907,-0.2840727296854513
Amundsen_Bellingshausen,1990,244,2.59244771223822,-2.108695652173907,-0.19588973707153556
Amundsen_Bellingshausen,1991,244,3.0509315143241764,-2.108695652173907,0.26259406501442095
Amundsen_Bellingshausen,1992,245,3.239450418098258,-1.1086956521739069,0.4511129687885025
Amundsen_Bellingshausen,1993,244,2.837067181265624,-2.108695652173907,0.048729731955868605
Amundsen_Bellingshausen,1994,244,2.8562141815159134,-2.108695652173907,0.06787673220615797
Amundsen_Bellingshausen,1995,244,2.863858150843481,-2.108695652173907,0.07552070153372537
Amundsen_Bellingshausen,1996,245,2.942350831359972,-1.1086956521739069,0.15401338205021675
Amundsen_Bellingshausen,1997,244,3.1965928647643977,-2.108695652173907,0.4082554154546423
Amundsen_Bellingshausen,1998,244,3.11581061477744,-2.108695652173907,0.32747316546768435
Amundsen_Bellingshausen,1999,244,3.098896525030999,-2.108695652173907,0.3105590757212435
Amundsen_Bellingshausen,2000,245,2.9606672208080784,-1.1086956521739069,0.17232977149832296
Amundsen_Bellingshausen,2001,244,2.999643429246345,-2.108695652173907,0.2113059799365895
Amundsen_Bellingshausen,2002,244,2.6703392716370873,-2.108695652173907,-0.11799817767266818
Amundsen_Bellingshausen,2003,244,2.102878633919058,-2.108695652173907,-0.6854588153906973
Amundsen_Bellingshausen,2004,245,2.2582090685360687,-1.1086956521739069,-0.5301283807736867
Amundsen_Bellingshausen,2005,244,2.9608793596927407,-2.108695652173907,0.17254191038298528
Amundsen_Bellingshausen,2006,244,3.332194136565369,-2.108695652173907,0.5438566872556136
Amundsen_Bellingshausen,2007,244,2.897770266576097,-2.108695652173907,0.10943281726634169
Amundsen_Bellingshausen,2008,245,2.374682552303127,-1.1086956521739069,-0.4136548970066283
Amundsen_Bellingshausen,2009,244,2.7335151061313665,-2.108695652173907,-0.054822343178388966
Amundsen_Bellingshausen,2010,244,2.523187425110624,-2.108695652173907,-0.26515002419913136
Amundsen_Bellingshausen,2011,244,3.0522908875742667,-2.108695652173907,0.26395343826451123
Amundsen_Bellingshausen,2012,245,2.3097267026457287,-1.1086956521739069,-0.4786107466640268
Amundsen_Bellingshausen,2013,244,2.6079659438228635,-2.108695652173907,-0.18037150548689196
Amundsen_Bellingshausen,2014,244,2.4978034550876025,-2.108695652173907,-0.290533994222153
Amundsen_Bellingshausen,2015,244,2.298477735139625,-2.108695652173907,-0.48985971417013063
Amundsen_Bellingshausen,2016,245,2.998892040696894,-1.1086956521739069,0.2105545913871385
Amundsen_Bellingshausen,2017,244,2.527246257531133,-2.108695652173907,-0.2610911917786223
Amundsen_Bellingshausen,2018,244,2.636642608451312,-2.108695652173907,-0.15169484085844331
Amundsen_Bellingshausen,2019,244,3.0061115124352584,-2.108695652173907,0.21777406312550296
Amundsen_Bellingshausen,2020,245,3.052037208461059,-1.1086956521739069,0.2636997591513035
Amundsen_Bellingshausen,2021,244,2.7481540697481686,-2.108695652173907,-0.04018337956158691
Amundsen_Bellingshausen,2022,244,2.4033894636680406,-2.108695652173907,-0.38494798564171484
Amundsen_Bellingshausen,2023,244,2.709710938315591,-2.108695652173907,-0.07862651099416462
East_Antarctica,1978,349,2.2349566844393194,72.6521739130435,-0.36289275789527586
East_Antarctica,1979,274,2.1313904940822743,-2.347826086956502,-0.4664589482523209
East_Antarctica,1980,275,2.717843952619718,-1.347826086956502,0.11999451028512276
East_Antarctica,1981,275,2.7055642491843335,-1.347826086956502,0.10771480684973822
East_Antarctica,1982,274,3.1796350643485485,-2.347826086956502,0.5817856220139532
East_Antarctica,1983,275,3.075887031820298,-1.347826086956502,0.47803758948570296
East_Antarctica,1984,276,2.764768909526328,-0.34782608695650197,0.1669194671917329
East_Antarctica,1985,274,2.719593757909521,-2.347826086956502,0.12174431557492582
East_Antarctica,1986,275,2.588221471253332,-1.347826086956502,-0.009627971081263453
East_Antarctica,1987,253,2.425370783406938,-23.347826086956502,-0.17247865892765724
East_Antarctica,1988,279,2.6190891068270354,2.652173913043498,0.02123966449244019
East_Antarctica,1989,275,2.119658733476902,-1.347826086956502,-0.4781907088576931
East_Antarctica,1990,275,2.7931502141860665,-1.347826086956502,0.1953007718514712
East_Antarctica,1991,275,2.4840713978197044,-1.347826086956502,-0.11377804451489082
East_Antarctica,1992,276,2.3948290835867407,-0.34782608695650197,-0.2030203587478545
East_Antarctica,1993,275,2.9557374774088085,-1.347826086956502,0.3578880350742133
East_Antarctica,1994,275,2.5992347953236714,-1.347826086956502,0.0013853529890761607
East_Antarctica,1995,275,2.329085151975573,-1.347826086956502,-0.26876429035902216
East_Antarctica,1996,276,2.6191902283347095,-0.34782608695650197,0.021340786000114242
East_Antarctica,1997,275,2.565796946872277,-1.347826086956502,-0.03205249546231803
East_Antarctica,1998,275,2.767208454600448,-1.347826086956502,0.16935901226585282
East_Antarctica,1999,275,2.7637329265876067,-1.347826086956502,0.16588348425301147
