year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
1998,4.379310344827586,4.454545454545454,circumpolar,265,16.232701935820245,-1.6086956521739353,0.68374026144547
1999,2.238095238095238,3.25,circumpolar,265,15.861291098102123,-1.6086956521739353,0.3123294237273484
2000,1.5,8.333333333333334,circumpolar,266,16.061990434488497,-0.6086956521739353,0.5130287601137216
2001,2.2941176470588234,4,circumpolar,265,14.72634799609586,-1.6086956521739353,-0.8226136782789144
2002,3.7,15,circumpolar,265,15.146721459921853,-1.6086956521739353,-0.402240214452922
2003,3.3333333333333335,13.3125,circumpolar,265,14.823630552247165,-1.6086956521739353,-0.72533112212761
2004,2.0434782608695654,NA,circumpolar,266,15.399373903883532,-0.6086956521739353,-0.14958777049124272
2005,3.1052631578947367,4,circumpolar,265,16.334339816291546,-1.6086956521739353,0.7853781419167714
2006,3.967741935483871,7.222222222222222,circumpolar,265,16.699758901531847,-1.6086956521739353,1.1507972271570726
2007,2.7142857142857144,9.615384615384615,circumpolar,265,16.00750522381922,-1.6086956521739353,0.4585435494444443
2008,2.8095238095238093,20.5,circumpolar,266,14.47102206738218,-0.6086956521739353,-1.0779396069925955
2009,4.548387096774194,2,circumpolar,265,16.234051035958142,-1.6086956521739353,0.6850893615833673
2010,3.914285714285714,44.36470588235294,circumpolar,265,15.942046647307956,-1.6086956521739353,0.3930849729331811
2011,1.588235294117647,5.285714285714286,circumpolar,265,16.353032466254138,-1.6086956521739353,0.8040707918793633
2012,2.4782608695652173,9.742857142857142,circumpolar,266,15.926334173508632,-0.6086956521739353,0.3773724991338572
