sector,mean_phase,sd_phase,mean_amp,sd_amp,mean_sse,growth_days,growth_start_doy,growth_end_doy,retreat_days,retreat_start_doy,retreat_end_doy,max_growth_doy,max_retreat_doy,max_growth_rate,max_retreat_rate
Amundsen_Bellingshausen,0.7837837837837835,5.482979396556499,3.086120797621622,0.3576300479629637,2.9533241396484544,194,50,243,123,244,366,117,3,0.028592823227031605,-0.045003080890087865
Ross,0.18918918918918903,3.381632066833326,5.590788068810811,0.40086887283473877,0.6020468243186479,222,56,277,89,278,366,161,349,0.045566051473733715,-0.11790745131034974
Weddell,0.9459459459459466,10.911120591055372,1.298039627054054,0.21948781470395765,6.349125907348466,187,58,244,122,245,366,150,344,0.010176595359773555,-0.011519738952561753
East_Antarctica,0.5135135135135135,3.51679795664577,2.804702175135135,0.19990252319593685,1.1668129199144497,222,52,273,93,274,366,131,327,0.01886630295851055,-0.04144113489630463
King_Haakon,0.05405405405405406,3.0907203937840366,4.450608374945946,0.35805466124850016,1.5698709294436937,215,49,263,103,264,366,84,3,0.036442231334919306,-0.06046435087034796
circumpolar,0.08108108108108113,1.7381084606609054,16.064611209216217,0.5351977962247687,0.20522281211319404,215,51,265,101,266,366,120,353,0.11178906340136407,-0.23347659185418657
