time,Sea Ice Extent (million km²)
2013-02-12,18643038.7
2013-02-13,18588045.8
2013-02-14,18533234.52
2013-02-15,18487474.43
2013-02-16,18441079.96
2013-02-17,18397588.83
2013-02-18,18332259.82
2013-02-19,18338976.12
2013-02-20,18284902.72
2013-02-21,18283330.86
2013-02-22,18300740.47
2013-02-23,18278273.91
2013-02-24,18253139.94
2013-02-25,18192086.14
2013-02-26,18167454.02
2013-02-27,18170615.24
2013-02-28,18211359.07
2013-03-01,18192007.17
2013-03-02,18204965.65
2013-03-03,18181160.41
2013-03-04,18256346.05
2013-03-05,18262543.34
2013-03-06,18206500.65
2013-03-07,18226005.07
2013-03-08,18214531.75
2013-03-09,18251697.7
2013-03-10,18326875.02
2013-03-11,18376546.1
2013-03-12,18487135.71
2013-03-13,18512876.47
2013-03-14,18517928.21
2013-03-15,18565319.39
2013-03-16,18693408.48
2013-03-17,18798350.85
2013-03-18,18920246.02
2013-03-19,19015784.51
2013-03-20,19090944.8
2013-03-21,19141243.78
2013-03-22,19214325.22
2013-03-23,19258152.73
2013-03-24,19286725.28
2013-03-25,19308473.11
2013-03-26,19351306.78
2013-03-27,19421153.76
2013-03-28,19495351.22
2013-03-29,19542893.33
2013-03-30,19590297.56
2013-03-31,19646227.75
2013-04-01,19734452.61
2013-04-02,19845355.98
2013-04-03,19855839.35
2013-04-04,19946292.4
2013-04-05,19995197.69
2013-04-06,20062179.08
2013-04-07,20107336.46
2013-04-08,20209442.19
2013-04-09,20275541.4
2013-04-10,20414168.12
2013-04-11,20450965.29
2013-04-12,20589407.35
2013-04-13,20666539.87
2013-04-14,20770147.67
2013-04-15,20867052.07
2013-04-16,20978176.84
2013-04-17,21108806.74
2013-04-18,21206101.03
2013-04-19,21275851.87
2013-04-20,21385486.26
2013-04-21,21442070.11
2013-04-22,21560309.1
2013-04-23,21621370.5
2013-04-24,21741181.81
2013-04-25,21781953.41
2013-04-26,21836639.19
2013-04-27,21954923.37
2013-04-28,22061709.92
2013-04-29,22111483.14
2013-04-30,22193213.17
2013-05-01,22268781.09
2013-05-02,22396000.06
2013-05-03,22527038.43
2013-05-04,22648246.24
2013-05-05,22790261.46
2013-05-06,22875325.76
2013-05-07,22986840.01
2013-05-08,23134265.39
2013-05-09,23215138.4
2013-05-10,23345718.56
2013-05-11,23447970.45
2013-05-12,23581257.13
2013-05-13,23751016.14
2013-05-14,23894749.1
2013-05-15,23949274.91
2013-05-16,24068010.14
2013-05-17,24204530.64
2013-05-18,24304566.39
2013-05-19,24471996.62
2013-05-20,24534848.54
2013-05-21,39946599.84
2013-05-22,25086186.17
2013-05-23,25182575.12
2013-05-24,25300022.9
2013-05-25,25376902.24
2013-05-26,25527781.3
2013-05-27,25666748.23
2013-05-28,25773866.31
2013-05-29,25903168.58
2013-05-30,26013187.58
2013-05-31,26119116.4
2013-06-01,26227143.06
2013-06-02,26357499.53
2013-06-03,26398064.09
2013-06-04,26339848.88
2013-06-05,26458921.85
2013-06-06,26698740.53
2013-06-07,26829537.01
2013-06-08,26910467.02
2013-06-09,27046045.18
2013-06-10,27268677.14
2013-06-11,27404961.46
2013-06-12,27537829.99
2013-06-13,27646942.17
2013-06-14,27708046.87
2013-06-15,27764135.88
2013-06-16,27899420.91
2013-06-17,27936141.11
2013-06-18,27929970.08
2013-06-19,27993439.67
2013-06-20,28190422.57
2013-06-21,28337298.77
2013-06-22,28545794.06
2013-06-23,28717239.46
2013-06-24,28775090.72
2013-06-25,28852761.11
2013-06-26,28848534.31
2013-06-27,28841835.0
2013-06-28,28991219.91
2013-06-29,29048782.65
2013-06-30,29115626.71
2013-07-01,29196574.29
2013-07-02,29364081.46
2013-07-03,29442156.84
2013-07-04,29487521.0
2013-07-05,29626032.11
2013-07-06,29718940.49
2013-07-07,29748786.0
2013-07-08,29813850.47
2013-07-09,29834287.71
2013-07-10,29921075.87
2013-07-11,30057744.82
2013-07-12,30183889.65
2013-07-13,30315657.55
2013-07-14,30489282.44
2013-07-15,30552453.99
2013-07-16,30643906.06
2013-07-17,30685921.09
2013-07-18,30724044.31
2013-07-19,30811545.49
2013-07-20,30973196.66
2013-07-21,31056472.37
2013-07-22,31091437.58
