time,SIE_circumpolar,SIE_Weddell,SIE_Amundsen_Bellingshausen,SIE_Ross,SIE_East_Antarctica,SIE_King_Haakon
1978-11-01,17.669528808559242,1.4780768076339914,3.3511225538336755,5.067262551525392,3.4028370471137137,4.370229848452467
1978-11-03,17.57554042646257,1.4492193668211697,3.342030018786394,5.0624755030770885,3.336672426980559,4.385143110797354
1978-11-05,17.41479287215339,1.381646652965111,3.354599778116582,5.026895870147657,3.2621977438929592,4.389452827031082
1978-11-07,17.260350209634833,1.3415459911617393,3.3584639591202254,5.007601118114861,3.193425274888132,4.359313866349872
1978-11-09,17.139133602542984,1.3403852601121211,3.4044759704563905,4.945970778883056,3.0937713311465354,4.35453026194488
1978-11-11,16.874650058825384,1.2909807147895604,3.452095304245871,4.865862888125179,2.9308938340304405,4.334817317634333
1978-11-13,16.50979140358537,1.1854151896181948,3.452987750493933,4.830911341595532,2.69387218929873,4.346604932578984
1978-11-15,16.345361642739167,1.1445927550098807,3.439928850634648,4.869412222615923,2.5962383970217453,4.295189417456969
1978-11-17,16.026485366118667,1.1250591079739205,3.4275317459775874,4.78421225289271,2.4955338740442565,4.194148385230192
1978-11-19,15.783388850946928,1.1384358889350745,3.4435609641241287,4.668813350732871,2.36627222132167,4.166306425833183
1978-11-21,15.513975959784224,1.1657898942533331,3.451557069492131,4.497393713440513,2.290161371380934,4.109073911217312
1978-11-23,15.18733736950884,1.1889455357112446,3.468083569098334,4.34585604990465,2.1425105480465403,4.041941666748072
1978-11-25,14.901118047175089,1.1883211559255893,3.412980278458068,4.250320593808158,2.0933029147157862,3.9561931042674887
1978-11-27,14.563854318691192,1.2083851377493207,3.461372900485605,4.075193638213613,1.9977799240193406,3.821122718223312
1978-11-29,14.236282364122994,1.2041859445976426,3.443025490867677,3.944426184800836,1.8855221186051108,3.759122625251728
1978-12-01,13.954292482055108,1.1894978220314714,3.439175498411757,3.8217048361069788,1.7981982446941758,3.7057160808107277
1978-12-03,13.760395975405363,1.1804477146296584,3.4502516196870108,3.6857104673757606,1.7316905304272943,3.71229564328564
1978-12-05,13.475680440311631,1.1781027831214819,3.457559178083251,3.547479405035443,1.635723843927398,3.6568152301440584
